Status,Preferred_term,ORPHAcode,Definition,Date
Active,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,5,"A mitochondrial disorder of long chain fatty acid oxidation characterized in most patients by onset in infancy/ early childhood of hypoketotic hypoglycemia, metabolic acidosis, liver disease, hypotonia and, frequently, cardiac involvement with arrhythmias and/or cardiomyopathy.",2025-06-24 08:04:43
Active,3-methylcrotonyl-CoA carboxylase deficiency,6,A rare inherited disorder of leucine metabolism characterized by a highly variable clinical picture ranging from metabolic crisis in infancy to asymptomatic adults.,2025-06-24 08:04:43
Active,3C syndrome,7,"Cranio-cerebello-cardiac (3C) syndrome is a rare multiple congenital anomalies syndrome characterized by craniofacial (prominent occiput and forehead, hypertelorism, ocular coloboma, cleft palate), cerebellar (Dandy-Walker malformation, cerebellar vermis hypoplasia) and cardiac (tetralogy of Fallot, atrial and ventricular septal defects) anomalies.",2025-06-24 08:04:43
Active,"47,XYY syndrome",8,"A rare sex chromosome aneuploidy where males receive an additional Y chromosome, that is characterized clinically by tall stature evident from childhood, macrocephaly, facial features (mild hypertelorism, low set ears, a mildly flat malar region), speech delay and an increased risk for social and emotional difficulties, attention deficit hyperactive disorder and autistic spectrum disorder.",2025-06-24 08:04:43
Active,Tetrasomy X syndrome,9,"Tetrasomy X is a sex chromosome anomaly caused by the presence of two extra X chromosomes in females (48,XXXX instead of 46,XX).",2025-06-24 08:04:43
Active,"48,XXYY syndrome",10,"A rare sex chromosome number anomaly disorder characterized, genetically, by the presence of an extra X and Y chromosome in males and, clinically, by tall stature, dysfunctional testes associated with infertility and insufficient testosterone production, cognitive, affective and social functioning impairments, global developmental delay, and an increased risk of congenital malformations.",2025-06-24 08:04:43
Active,Pentasomy X syndrome,11,"Pentasomy X is a sex chromosome anomaly caused by the presence of three extra X chromosomes in females (49,XXXXX instead of 46,XX).",2025-06-24 08:04:43
Active,6-pyruvoyl-tetrahydropterin synthase deficiency,13,"A rare form of hyperphenylalaninemia due to tetrahydropterin (BH4) biosynthesis deficiency, leading to central dopamine and serotonin deficiency, and characterized by infantile-onset neurological disease of variable severity ranging from mild forms with normal neurological development to severe forms with hypotonia, developmental delay, complex movement disorder dominated by dystonia or dystonia parkinsonism.",2025-06-24 08:04:43
Active,Abetalipoproteinemia,14,"A severe, familial hypobetalipoproteinemia characterized by permanently low levels (below the 5th percentile) of apolipoprotein B and LDL cholesterol, and by growth delay, malabsorption, hepatomegaly, and neurological and neuromuscular manifestations.",2025-06-24 08:04:43
Active,Achondroplasia,15,"A primary bone dysplasia with micromelia characterized by rhizomelia, exaggerated lumbar lordosis, brachydactyly, and macrocephaly with frontal bossing and midface hypoplasia.",2025-06-24 08:04:43
Active,Blue cone monochromatism,16,"Blue cone monochromatism (BCM) is a recessive X-linked disease characterized by severely impaired color discrimination, low visual acuity, nystagmus, and photophobia, due to dysfunction of the red (L) and green (M) cone photoreceptors. BCM is as an incomplete form of achromatopsia.",2025-06-24 08:04:43
Active,Fatal infantile lactic acidosis with methylmalonic aciduria,17,"Fatal infantile lactic acidosis with methylmalonic aciduria is a rare neurometabolic disease characterized by infantile onset of severe encephalomyopathy, lactic acidosis and elevated methylmalonic acid urinary excretion. Clinically it manifests with severe psychomotor delay, hypotonia, failure to thrive, feeding difficulties and dystonia. Epilepsy and multiple congenital anomalies may be associated.",2025-06-24 08:04:43
Active,Distal renal tubular acidosis,18,"A rare genetic or acquired renal tubular disease characterized by hyperchloremic metabolic acidosis. Primary distal renal tubular acidosis (dRTA) is often associated with hypokalemia, other forms with hypokalemia, hyperkalemia or normokalemia.",2025-06-24 08:04:43
Active,2-hydroxyglutaric aciduria,19,"2-Hydroxyglutaric aciduria is a group of neurometabolic disorders with a wide clinical spectrum ranging from severe neonatal presentations to progressive forms, and asymptomatic cases, characterized biochemically by increased levels of 2-hydroxyglutaric acid in the plasma, cerebrospinal fluid and urine.",2025-06-24 08:04:43
Active,3-hydroxy-3-methylglutaric aciduria,20,"A rare organic aciduria, due to deficiency of 3-hydroxy-3-methylglutaryl-CoA lyase characterized by episodes of metabolic decompensation with hypoketotic hypoglycemia triggered by periods of fasting or infections.",2025-06-24 08:04:43
Active,Succinic semialdehyde dehydrogenase deficiency,22,"A rare neurometabolic disorder of gamma-aminobutyric acid (GABA) metabolism with a nonspecific clinical presentation (ranging from mild to severe) with the most frequent symptoms being cognitive impairment with prominent deficit in expressive language, hypotonia, ataxia, epilepsy, and behavioral dysregulation.",2025-06-24 08:04:43
Active,Argininosuccinic aciduria,23,"A rare, genetic disorder of urea cycle metabolism typically characterized by either a severe, neonatal-onset form that manifests with hyperammonemia accompanied with vomiting, hypothermia, lethargy and poor feeding in the first few days of life, or late-onset forms that manifest with stress- or infection-induced episodic hyperammonemia or, in some, behavioral abnormalities and/or learning disabilities, or chronic liver disease. Patients often manifest liver dysfunction.",2025-06-24 08:04:43
